No.,jointName,dimension,translateX,translateY,translateZ,rotMtx_00,rotMtx_01,rotMtx_02,rotMtx_10,rotMtx_11,rotMtx_12,rotMtx_20,rotMtx_21,rotMtx_22
0,leg_L_ankle_irm_bind,9,n/a,n/a,n/a,0.17840628473743803,-0.7451653587148863,0.6425727863343565,0.663827861186202,0.5731918455654355,0.4803994992610234,-0.7262945465024065,0.3408514285559097,0.5969225539148768
1,leg_L_femur_irm_bind,9,n/a,n/a,n/a,0.23913196701108286,-0.48237777847400165,-0.84269067942389,-0.637931323617473,0.5762348789665707,-0.5108786456782478,0.7320242678361623,0.6597461959699872,-0.1699277146379068
2,leg_L_knee_irm_bind,9,n/a,n/a,n/a,0.9652560564522505,0.2613058466285242,0.0,-0.2613058466285242,0.9652560564522505,0.0,0.0,0.0,1.0
3,leg_R_ankle_irm_bind,9,n/a,n/a,n/a,0.06282816512815394,-0.9405176434604243,0.33388498619476803,0.3892049438033658,0.33114799968097386,0.8595699587737514,-0.9190060573171696,0.07594448397968431,0.38685953777490234
4,leg_R_femur_irm_bind,9,n/a,n/a,n/a,-0.3997466257921456,-0.04840788603146985,0.9153465528081476,0.673537580627531,0.6618237000339984,0.3291451314476949,-0.6217312624037871,0.7480949583062783,-0.23195726051693463
5,leg_R_knee_irm_bind,9,n/a,n/a,n/a,0.9652559547696747,0.261306222240657,0.0,-0.261306222240657,0.9652559547696747,0.0,0.0,0.0,1.0
6,spine_C_spine_01_irm_bind,12,178.84115186489797,164.0721470999813,71.81695921585012,0.8247740148134051,-0.5624255901852246,-0.05852589164958501,-0.03925612002168656,0.04630041309332412,-0.9981559140676527,0.5640982020264027,0.8255505600822944,0.016108731122920997
0,leg_L_ankle_irm_bind,9,n/a,n/a,n/a,0.06262741348169219,-0.924859743773247,-0.3751163305273135,0.38534926424495974,0.3691160484507925,-0.8457300321745351,0.920643118491884,-0.09158491755609009,0.37951080518185887
1,leg_L_femur_irm_bind,9,n/a,n/a,n/a,-0.6147180598101163,0.7816621621534168,-0.10547971938212539,0.21982111030172513,0.04134877500609169,-0.9746635102799388,-0.7574961296330187,-0.6223299310358944,-0.19724368311268115
2,leg_L_knee_irm_bind,9,n/a,n/a,n/a,0.9652560564522505,0.26130584662852424,0.0,-0.26130584662852424,0.9652560564522505,0.0,0.0,0.0,1.0
3,leg_R_ankle_irm_bind,9,n/a,n/a,n/a,0.3113140735122604,-0.9501180062052575,-0.018955788502426015,0.9472903806189162,0.31185219572524864,-0.07341078128047392,0.07566030941035912,0.004897173254747115,0.9971216251160344
4,leg_R_femur_irm_bind,9,n/a,n/a,n/a,-0.4783551370436585,0.3381770108732667,0.8104398017007587,0.30686750652171757,0.9290686615245547,-0.20655206514125224,-0.8228053817915182,0.14989239970657267,-0.5482003029961936
5,leg_R_knee_irm_bind,9,n/a,n/a,n/a,0.9652559547696746,0.2613062222406575,0.0,-0.2613062222406575,0.9652559547696746,0.0,0.0,0.0,1.0
6,spine_C_spine_01_irm_bind,12,-13.882308804178383,187.60535055563963,164.22790784134938,0.9496727157613263,-0.3120566903707284,0.02724619117187149,0.0385968664580921,0.030254065170006506,-0.9987967628303093,0.31085690411847555,0.9495816518528336,0.04077587063841348
0,leg_L_ankle_irm_bind,9,n/a,n/a,n/a,0.23059716190549118,-0.9600309122173336,0.1586366808411194,0.845082731291135,0.2784072493077003,0.45642587657409983,-0.4823485525993088,0.02881060776995969,0.8755054669648141
1,leg_L_femur_irm_bind,9,n/a,n/a,n/a,-0.5808033820225224,-0.6580732942974679,0.47917321582458994,0.5983183712989291,-0.7442319701861134,-0.29687354398648186,0.5519805775544984,0.11427297968187805,0.8259897869327608
2,leg_L_knee_irm_bind,9,n/a,n/a,n/a,0.9652560564522505,0.2613058466285242,0.0,-0.2613058466285242,0.9652560564522505,0.0,0.0,0.0,1.0
3,leg_R_ankle_irm_bind,9,n/a,n/a,n/a,0.40225667846720226,-0.7913970386992087,-0.46030456413841525,0.5761241174011751,0.6095580256621692,-0.5445365136513391,0.7115269256867591,-0.046149111464479114,0.7011417071703753
4,leg_R_femur_irm_bind,9,n/a,n/a,n/a,-0.7272111241568959,-0.6180120302358874,0.298705727072951,0.46063721987274464,-0.76201236394624,-0.4551379009278087,0.5088981554008349,-0.1933863689011707,0.8388232112625686
5,leg_R_knee_irm_bind,9,n/a,n/a,n/a,0.9652559547696743,0.26130622224065814,0.0,-0.26130622224065814,0.9652559547696743,0.0,0.0,0.0,1.0
6,spine_C_spine_01_irm_bind,12,218.37968517884696,211.61974494602435,-30.639911958069362,-0.045052794361573716,0.9961170318862494,-0.07563798322497826,-0.8757158031624666,-0.07581485262700549,-0.47683743583391347,-0.48072037382633354,0.04475451828892559,0.8757310975870368
0,leg_L_ankle_irm_bind,9,n/a,n/a,n/a,0.15708798043666308,-0.915250529002191,0.37099843067530724,0.8252758463901794,0.3279927430185928,0.4597178894627796,-0.5424418344553669,0.2339598890586793,0.8068578725800144
1,leg_L_femur_irm_bind,9,n/a,n/a,n/a,-0.7052598889337084,0.47550658384830163,-0.5258345536175155,-0.6702271445656495,-0.20542375099288246,0.7131596295468431,0.23109319277856163,0.8553914725112313,0.46357455172439965
2,leg_L_knee_irm_bind,9,n/a,n/a,n/a,0.9652560564522507,0.2613058466285236,0.0,-0.2613058466285236,0.9652560564522507,0.0,0.0,0.0,1.0
3,leg_R_ankle_irm_bind,9,n/a,n/a,n/a,-0.33204371746907085,-0.8303279595208989,-0.4475516163831604,-0.7868716077880231,0.505479537736813,-0.3540106068841283,0.5201730890255768,0.23461866201825826,-0.8212028013142374
4,leg_R_femur_irm_bind,9,n/a,n/a,n/a,-0.67807653193584,-0.6362154552361936,0.368024606998589,-0.723403650987039,0.666257890650554,-0.1810734129697027,-0.12999759450268833,-0.38901197624813166,-0.9120144229994595
5,leg_R_knee_irm_bind,9,n/a,n/a,n/a,0.9652559547696745,0.2613062222406579,0.0,-0.2613062222406579,0.9652559547696745,0.0,0.0,0.0,1.0
6,spine_C_spine_01_irm_bind,12,13.910877564653386,112.14812698961151,46.286625790762116,-0.6450743565531416,-0.4001953289418051,0.6509399152077793,0.6552802163208469,-0.727916367079889,0.201855395359451,0.3930482319207842,0.5567597877275052,0.7318002638381382
0,leg_L_ankle_irm_bind,9,n/a,n/a,n/a,0.7823451725454323,-0.48907296507115783,-0.3856730037627262,0.5801791838517787,0.34699903150315703,0.736874335800179,-0.22655715751205413,-0.8002495279426144,0.555222970893389
1,leg_L_femur_irm_bind,9,n/a,n/a,n/a,-0.7903873716327587,-0.3063511946287845,0.53050612467056,0.12856068457482142,-0.929644325570576,-0.3453021550990985,0.5989657362029255,-0.2047202322291209,0.7741638543428273
2,leg_L_knee_irm_bind,9,n/a,n/a,n/a,0.9652560564522507,0.2613058466285237,0.0,-0.2613058466285237,0.9652560564522507,0.0,0.0,0.0,1.0
3,leg_R_ankle_irm_bind,9,n/a,n/a,n/a,-0.5794375921819898,-0.7444299304822317,-0.3317772677091625,-0.7695748161765322,0.6337743636177171,-0.07800421993593903,0.2683406027294312,0.210128852429116,-0.9401272181484952
4,leg_R_femur_irm_bind,9,n/a,n/a,n/a,0.11942339921832078,0.0066130805590386985,0.9928213932448582,0.14130356737438693,-0.9899116495253031,-0.010403267821541887,0.9827366654228457,0.1415315982373346,-0.11915306598645325
5,leg_R_knee_irm_bind,9,n/a,n/a,n/a,0.9652559547696745,0.2613062222406579,0.0,-0.2613062222406579,0.9652559547696745,0.0,0.0,0.0,1.0
6,spine_C_spine_01_irm_bind,12,13.870810038222064,-8.582324770804348,50.88572379658078,-0.7447200325216364,-0.579668498965174,0.33072118841772913,0.6335000871388424,-0.45813237260582407,0.6235321713958613,-0.2099278751287025,0.6738688006415051,0.7084004000323032
0,leg_L_ankle_irm_bind,9,n/a,n/a,n/a,0.5716315320355935,-0.7643995582721202,0.29821251968357604,0.8179852474241853,0.5593937061250086,-0.13408510933031254,-0.06432360825571284,0.3205807181680064,0.9450346430474657
1,leg_L_femur_irm_bind,9,n/a,n/a,n/a,0.08883545212966548,-0.9580887669986474,-0.27234936569768164,0.9875331090160474,0.12039267137569132,-0.1014098776062975,0.12994853228112027,-0.2599452235184105,0.9568395161822835
2,leg_L_knee_irm_bind,9,n/a,n/a,n/a,0.9652560564522502,0.2613058466285246,0.0,-0.2613058466285246,0.9652560564522502,0.0,0.0,0.0,1.0
3,leg_R_ankle_irm_bind,9,n/a,n/a,n/a,-0.4033812967095235,-0.5935441534243902,0.6964114210728225,-0.2408642908316652,0.8031139135740079,0.5449701232416325,-0.8827615322764711,0.05209011191738093,-0.4669247234547903
4,leg_R_femur_irm_bind,9,n/a,n/a,n/a,0.1102742848929168,-0.8238688519680436,-0.5559493653636219,0.006520855307935338,-0.5587490370843416,0.8293111551181346,-0.9938798018560441,-0.09507695995444579,-0.056243320922683374
5,leg_R_knee_irm_bind,9,n/a,n/a,n/a,0.9652559547696743,0.2613062222406581,0.0,-0.2613062222406581,0.9652559547696743,0.0,0.0,0.0,1.0
6,spine_C_spine_01_irm_bind,12,118.28765772639858,150.27469245088815,165.40381473365835,-0.05602146558277599,0.4689012822588506,0.8814721679610557,0.38087229129573946,0.8261339049196191,-0.4152578342011082,-0.9229289751205622,0.31246497185807476,-0.22487273788665751
0,leg_L_ankle_irm_bind,9,n/a,n/a,n/a,0.2551356512099069,-0.9543608280578119,-0.15524564196944315,0.8195224028017133,0.298645981092451,-0.48907423698599567,0.5131167808479891,-0.002447007587882189,0.8583153158170147
